CH1,CH1,CH1,,,,CL,CC,
RawData,BaseLine,Diff,,,,8,10,10240
3664,3665,-1,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3665,2,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3667,3667,0,,,,,,
3666,3667,-1,,,,,,
3666,3667,-1,,,,,,
3666,3667,-1,,,,,,
3666,3667,-1,,,,,,
3666,3667,-1,,,,,,
3665,3667,-2,,,,,,
3665,3667,-2,,,,,,
3665,3667,-2,,,,,,
3665,3667,-2,,,,,,
3665,3667,-2,,,,,,
3665,3667,-2,,,,,,
3664,3667,-3,,,,,,
3663,3667,-4,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3663,3667,-4,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3663,3667,-4,,,,,,
3664,3667,-3,,,,,,
3664,3667,-3,,,,,,
3663,3667,-4,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
3664,3666,-2,,,,,,
3664,3666,-2,,,,,,
3663,3666,-3,,,,,,
